neworold,ownership,status,lift_avail,car_parking_avail,Gas_conn_avail,age,area,balconies,bathroom,bhk,floor,place,price,price_per_sq
0,3,0,1,1,0,7,673,2,1,1 BHK Apartment ,3,Hadapsar,4500000,6686
0,3,0,1,1,0,7,686,2,1,1 BHK Apartment ,3,Hadapsar,3100000,4518
0,3,0,1,1,0,4,1250,2,2,2 BHK Apartment ,12,Wakad,8600000,6880
0,3,0,1,1,0,2,980,2,2,2 BHK Apartment ,5,Wakad,6300000,6428
0,3,0,1,1,0,2,980,2,2,2 BHK Apartment ,3,Wakad,6300000,6428
0,2,0,0,0,0,4,1150,2,2,2 BHK Apartment ,5,Baner,8000000,6956
0,2,0,1,1,0,8,1200,2,2,2 BHK Apartment ,5,Wakad,9500000,7916
1,3,3,1,1,0,11,1150,2,2,2 BHK Apartment ,4,Wadgaon Sheri,7500000,6521
0,3,0,1,1,0,11,1230,2,2,2 BHK Apartment ,5,Kalyani Nagar,12000000,9756
0,3,0,1,1,0,11,1050,2,2,2 BHK Apartment ,4,Wadgaon Sheri,7000000,6666
0,2,0,1,1,0,10,640,2,1,1 BHK Apartment ,4,Vishrantwadi,3700000,5781
0,3,0,1,1,0,1,660,1,2,1 BHK Apartment ,8,Wagholi,3000000,4545
1,3,3,1,1,1,0,1260,1,2,2 BHK Apartment ,9,Hinjewadi,6600000,5238
1,3,3,1,1,1,1,955,1,2,2 BHK Apartment ,5,Wakad,5300000,5549
0,3,0,1,1,0,8,1057,1,2,2 BHK Apartment ,5,Pimple Saudagar,7000000,6622
0,3,1,1,1,1,10,1450,1,3,3 BHK Apartment ,9,Kothrud,22500000,15517
0,3,0,1,1,0,5,1100,1,2,2 BHK Apartment ,4,Pimple Saudagar,7200000,6545
0,3,1,1,1,1,10,1350,2,2,2 BHK Apartment ,3,Pashan,10000000,7407
0,2,0,1,1,0,4,1150,1,2,2 BHK Apartment ,10,Wakad,6800000,5913
0,2,0,0,1,0,4,1650,2,3,3 BHK Apartment ,1,Wakad,8700000,5272
0,2,0,1,1,0,5,620,1,1,1 BHK Apartment ,5,Wakad,3800000,6129
0,2,0,1,1,0,5,1150,2,2,2 BHK Apartment ,5,Wakad,7800000,6782
0,2,0,1,1,0,8,1150,1,2,2 BHK Apartment ,2,Wakad,7100000,6173
0,2,0,1,1,0,5,1500,2,3,3 BHK Apartment ,11,Wakad,7600000,5066
0,2,0,1,1,0,1,1230,1,2,2 BHK Apartment ,9,Wakad,6000000,4878
0,2,0,1,1,0,8,1650,3,3,4 BHK Apartment ,5,Wakad,8300000,5030
0,2,0,1,1,0,2,1150,1,2,2 BHK Apartment ,10,Wakad,6800000,5913
0,2,0,1,1,0,5,1350,2,3,3 BHK Apartment ,6,Wakad,9100000,6740
0,3,0,1,1,0,11,1050,2,2,2 BHK Apartment ,1,Kondhwa,6500000,6190
0,3,1,1,0,0,17,1089,2,2,2 BHK Apartment ,1,Rahatani,5500000,5050
0,2,0,1,1,0,13,925,1,2,2 BHK Apartment ,10,Aundh,9000000,9729
0,2,0,1,1,0,10,510,1,1,1 BHK Apartment ,3,Sasane Nagar,2350000,4607
0,2,1,1,1,0,9,850,2,2,2 BHK Apartment ,5,Kharadi,5200000,6117
0,3,0,1,0,0,16,529,2,1,1 BHK Apartment ,3,Kondhwa,3000000,5671
1,3,3,1,1,0,0,2580,2,4,4 BHK Apartment ,7,Baner,20000000,7751
1,3,3,1,1,0,0,1400,2,3,3 BHK Apartment ,4,Hinjewadi,8000000,5714
1,3,3,1,1,0,0,5115,3,5,4 BHK Apartment ,6,Aundh,61380000,12000
0,3,1,1,1,0,6,950,2,2,2 BHK Apartment ,1,Undri,3800000,4000
1,3,3,1,1,0,1,1206,1,2,2 BHK Apartment ,6,Baner,9000000,7462
1,3,3,1,1,0,0,3500,2,4,4 BHK Apartment ,5,Baner,40000000,11428
1,3,3,1,1,0,0,1206,1,2,2 BHK Apartment ,6,Balewadi,9000000,7462
1,3,3,1,1,0,0,1500,2,3,3 BHK Apartment ,6,Hinjewadi,9000000,6000
1,3,3,1,1,0,0,1150,1,2,2 BHK Apartment ,9,Baner,7500000,6521
1,3,3,1,1,0,0,2606,2,4,4 BHK Apartment ,9,Baner,28000000,10744
1,3,3,1,1,0,0,1150,1,2,2 BHK Apartment ,7,Balewadi,7500000,6521
1,3,3,1,1,0,0,1688,2,3,3 BHK Apartment ,7,Baner,12000000,7109
1,3,3,1,1,0,0,1668,2,3,3 BHK Apartment ,4,Balewadi,12000000,7194
1,3,3,1,1,0,0,1405,2,3,3 BHK Apartment ,4,Bavdhan,9463000,6735
1,3,3,1,1,0,1,1635,2,3,3 BHK Apartment ,6,Baner,12000000,7339
1,3,3,1,1,0,0,3500,2,4,4 BHK Apartment ,4,Baner,40000000,11428
1,3,3,1,1,0,0,1668,2,3,3 BHK Apartment ,4,Balewadi,12500000,7494
1,3,3,1,1,0,0,2800,2,4,4 BHK Apartment ,5,Bavdhan,20000000,7142
1,3,3,1,1,0,0,1290,2,2,2 BHK Apartment ,4,Baner,8500000,6589
1,3,3,1,1,0,0,3300,2,4,4 BHK Apartment ,7,Baner,30000000,9090
1,3,3,1,1,0,0,1290,2,2,2 BHK Apartment ,4,Balewadi,8500000,6589
1,3,3,1,1,0,0,4041,2,4,4 BHK Apartment ,7,Baner,40000000,9898
1,3,3,1,1,0,0,2200,2,3,3 BHK Apartment ,7,Aundh,23500000,10681
1,3,3,1,1,0,0,1500,1,2,3 BHK Apartment ,8,Hinjewadi,9260000,6173
1,3,3,1,1,0,0,2580,2,4,4 BHK Apartment ,7,Hinjewadi,17000000,6589
1,3,3,1,1,0,0,1155,1,2,2 BHK Apartment ,7,Bavdhan,7700000,6666
1,3,3,1,1,0,0,2600,2,4,4 BHK Apartment ,4,Balewadi,28600000,11000
1,3,3,1,1,0,0,1660,2,3,3 BHK Apartment ,7,Baner,12500000,7530
1,3,3,1,1,0,0,2550,2,4,4 BHK Apartment ,7,Baner,20000000,7843
1,3,3,1,1,0,0,1660,2,3,3 BHK Apartment ,5,Balewadi,12500000,7530
1,3,3,1,1,0,0,1084,1,2,2 BHK Apartment ,4,Baner,8363000,7714
1,3,3,1,1,0,0,1084,1,2,2 BHK Apartment ,6,Baner,8363000,7714
0,2,2,1,1,0,6,1558,2,3,3 BHK Apartment ,5,Aundh,16500000,10590
0,2,0,1,1,0,8,770,2,2,2 BHK Apartment ,2,Hadapsar,3500000,4545
1,3,3,0,1,0,2,960,2,2,2 BHK Apartment ,3,Wagholi,3300000,3437
0,3,0,1,1,0,3,945,1,3,2 BHK Apartment ,3,Balewadi,6500000,6878
1,3,3,0,0,0,1,3930,2,4,4 BHK Apartment ,7,Koregaon Park,65100000,16564
1,3,3,0,0,0,0,2562,2,4,4 BHK Apartment ,6,Baner,19700000,7689
1,3,3,0,0,0,1,3310,2,4,4 BHK Apartment ,8,Balewadi,30000000,9063
1,3,3,0,0,0,1,2600,2,4,4 BHK Apartment ,7,Balewadi,26000000,10000
1,3,3,0,0,0,1,2651,2,4,4 BHK Apartment ,9,Baner,26000000,9807
1,3,3,0,0,0,0,2215,2,3,3 BHK Apartment ,7,Aundh,22500000,10158
1,3,3,0,0,0,0,2200,2,3,3 BHK Apartment ,7,Aundh,22600000,10272
1,3,3,0,0,0,1,6298,3,5,5 BHK Apartment ,9,Kalyani Nagar,157400000,24992
1,3,3,0,0,0,0,6862,3,5,5 BHK Apartment ,8,Koregaon Park,12000000,1748
1,3,3,0,0,0,0,3800,2,4,4 BHK Apartment ,5,Baner,39900000,10500
1,3,3,0,0,0,0,2250,2,4,4 BHK Apartment ,8,Baner,20000000,8888
1,3,3,0,0,0,0,2250,2,4,4 BHK Apartment ,8,Balewadi,20000000,8888
1,3,3,0,0,0,0,2606,2,4,4 BHK Apartment ,8,Baner,26000000,9976
1,3,3,0,0,0,0,2606,2,4,4 BHK Apartment ,7,Balewadi,26000000,9976
